DateScraped,CitationNumber,TotalOriginalAmount,TotalBalance,BalanceDifference,BalanceChange,OriginalAmountChange
2023-07-06,9Z0828346,191.0,191.0,0.0,False,False
2023-07-05,9Z0828346,191.0,191.0,0.0,False,False
2023-07-02,9Z0828346,191.0,191.0,0.0,False,False
2023-06-28,9Z0828346,191.0,191.0,0.0,False,False
2023-06-27,9Z0828346,191.0,191.0,0.0,False,False
2023-06-09,9Z0828346,191.0,191.0,0.0,False,True
2023-03-18,9Z0828346,139.0,139.0,0.0,False,False
2023-07-06,73237039,72.0,0.0,72.0,False,False
2023-07-05,73237039,72.0,0.0,72.0,False,False
2023-07-02,73237039,72.0,0.0,72.0,True,False
2023-06-28,73237039,72.0,72.0,0.0,False,False
2023-06-27,73237039,72.0,72.0,0.0,False,False
2023-06-26,73237039,72.0,72.0,0.0,False,False
2023-06-24,73237039,72.0,72.0,0.0,False,False
2023-07-06,2A0530631,272.0,231.0,41.0,False,False
2023-07-05,2A0530631,272.0,231.0,41.0,False,False
2023-07-02,2A0530631,272.0,231.0,41.0,False,False
2023-06-28,2A0530631,272.0,231.0,41.0,False,False
2023-06-27,2A0530631,272.0,231.0,41.0,False,False
2023-06-09,2A0530631,272.0,231.0,41.0,True,True
2023-03-18,2A0530631,128.0,128.0,0.0,False,False
2023-07-06,2A0365587,191.0,0.0,191.0,False,False
2023-07-05,2A0365587,191.0,0.0,191.0,False,False
2023-07-02,2A0365587,191.0,0.0,191.0,False,False
2023-06-28,2A0365587,191.0,0.0,191.0,False,False
2023-06-27,2A0365587,191.0,0.0,191.0,False,False
2023-06-09,2A0365587,191.0,0.0,191.0,False,False
2023-03-18,2A0365587,191.0,0.0,191.0,False,False
2023-07-06,2A0084843,191.0,0.0,191.0,False,False
2023-07-05,2A0084843,191.0,0.0,191.0,False,False
2023-07-02,2A0084843,191.0,0.0,191.0,False,False
2023-06-28,2A0084843,191.0,0.0,191.0,False,False
2023-06-27,2A0084843,191.0,0.0,191.0,False,False
2023-06-09,2A0084843,191.0,0.0,191.0,False,False
2023-03-18,2A0084843,191.0,0.0,191.0,False,False
2023-07-06,2300665354,237.0,0.0,237.0,False,False
2023-07-05,2300665354,237.0,0.0,237.0,False,False
2023-07-02,2300665354,237.0,0.0,237.0,False,False
2023-06-28,2300665354,237.0,0.0,237.0,False,False
2023-06-27,2300665354,237.0,0.0,237.0,False,False
2023-06-26,2300665354,237.0,0.0,237.0,False,False
2023-06-24,2300665354,237.0,0.0,237.0,False,False
2023-07-06,2300585594,164.0,0.0,164.0,False,False
2023-07-05,2300585594,164.0,0.0,164.0,False,False
2023-07-02,2300585594,164.0,0.0,164.0,False,False
2023-06-28,2300585594,164.0,0.0,164.0,False,False
2023-06-27,2300585594,164.0,0.0,164.0,False,False
2023-06-26,2300585594,164.0,0.0,164.0,False,False
2023-06-24,2300585594,164.0,0.0,164.0,False,False
2023-07-06,2300538791,164.0,164.0,0.0,False,False
2023-07-05,2300538791,164.0,164.0,0.0,False,False
2023-07-02,2300538791,164.0,164.0,0.0,False,False
2023-06-28,2300538791,164.0,164.0,0.0,False,False
2023-06-27,2300538791,164.0,164.0,0.0,False,False
2023-06-26,2300538791,164.0,164.0,0.0,False,False
2023-06-24,2300538791,164.0,164.0,0.0,False,False
2023-07-06,2200192913,237.0,0.0,237.0,False,False
2023-07-05,2200192913,237.0,0.0,237.0,False,False
2023-07-02,2200192913,237.0,0.0,237.0,False,False
2023-06-28,2200192913,237.0,0.0,237.0,False,False
2023-06-27,2200192913,237.0,0.0,237.0,False,False
2023-06-09,2200192913,237.0,0.0,237.0,False,False
2023-03-18,2200192913,237.0,0.0,237.0,False,False
2023-07-06,2100935015,139.0,0.0,139.0,False,False
2023-07-05,2100935015,139.0,0.0,139.0,False,False
2023-07-02,2100935015,139.0,0.0,139.0,False,False
2023-06-28,2100935015,139.0,0.0,139.0,False,False
2023-06-27,2100935015,139.0,0.0,139.0,False,False
2023-06-09,2100935015,139.0,0.0,139.0,False,False
2023-03-18,2100935015,139.0,0.0,139.0,False,False
